127.0.0.1 - - [10/Jul/2020:13:22:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:22:09 +0900] "GET /0702_jsp/ex41_jstl_.jsp HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:22:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:25:39 +0900] "GET /0702_jsp/ex41_jstl_.jsp HTTP/1.1" 200 1229
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:28:21 +0900] "GET /0702_jsp/ex41_jstl_.jsp HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:29:37 +0900] "GET /0702_jsp/ex41_jstl_.jsp HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:32:22 +0900] "GET /0702_jsp/ex41_jstl_.jsp HTTP/1.1" 200 1873
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:32:24 +0900] "GET /0702_jsp/ex41_jstl_.jsp HTTP/1.1" 200 1873
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:32:35 +0900] "GET /0702_jsp/ex41_jstl_.jsp HTTP/1.1" 200 1873
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:32:43 +0900] "GET /0702_jsp/ex41_jstl_.jsp HTTP/1.1" 200 1873
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:34:14 +0900] "GET /0702_jsp/ex41_jstl_.jsp HTTP/1.1" 200 1881
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:34:16 +0900] "GET /0702_jsp/ex41_jstl_.jsp HTTP/1.1" 200 1881
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:34:33 +0900] "GET /0702_jsp/ex41_jstl_.jsp HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:37:23 +0900] "GET /0702_jsp/ex41_jstl_.jsp HTTP/1.1" 200 2140
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:37:42 +0900] "GET /0702_jsp/ex41_jstl_.jsp HTTP/1.1" 200 2414
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:38:00 +0900] "GET /0702_jsp/ex41_jstl_.jsp HTTP/1.1" 200 2442
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:47:55 +0900] "GET /0702_jsp/ex42_result.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:48:04 +0900] "GET /0702_jsp/ex41_jstl_.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:48:04 +0900] "GET /0702_jsp/ex42_result.jsp?name=%EC%95%84%EC%88%98%EB%9D%BC%EB%B0%B1%EC%9E%91 HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:56:15 +0900] "GET /0702_jsp/ex42_result.jsp?name=%EC%95%84%EC%88%98%EB%9D%BC%EB%B0%B1%EC%9E%91 HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:56:24 +0900] "GET /0702_jsp/ex41_jstl_.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:56:56 +0900] "GET /0702_jsp/ex41_jstl_.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [10/Jul/2020:13:57:21 +0900] "GET /0702_jsp/ex41_jstl_.jsp HTTP/1.1" 200 200
